faq_id,question,answer
faq_123,Wie funktioniert der Warenkorb?,Klicke auf der Produktseite auf ""In den Warenkorb"".
faq_124,Wie kann ich etwas kaufen?,Klicke auf der Produktseite auf ""In den Warenkorb"".
faq_125,Wie bestelle ich ein Produkt?,Klicke auf der Produktseite auf ""In den Warenkorb"".
faq_126,Wie entferne ich Produkte aus dem Warenkorb?,Artikel kannst du direkt im Warenkorb entfernen.
faq_127,Wie lösche ich einen Artikel aus dem Warenkorb?,Artikel kannst du direkt im Warenkorb entfernen.
faq_128,Wie nehme ich etwas aus dem Warenkorb raus?,Artikel kannst du direkt im Warenkorb entfernen.
faq_129,Wie lösche ich Produkte im Warenkorb?,Artikel kannst du direkt im Warenkorb entfernen.
faq_130,Wie entferne ich Artikel vor dem Kauf?,Artikel kannst du direkt im Warenkorb entfernen.
faq_131,Wie funktioniert der Checkout?,Folge den Schritten im Checkout-Prozess, um die Bestellung abzuschliessen.
faq_132,Wie läuft der Bezahlvorgang ab?,Folge den Schritten im Checkout-Prozess, um die Bestellung abzuschliessen.
faq_133,Wie schließe ich eine Bestellung ab?,Folge den Schritten im Checkout-Prozess, um die Bestellung abzuschliessen.
faq_134,Wie funktioniert der Kaufabschluss?,Folge den Schritten im Checkout-Prozess, um die Bestellung abzuschliessen.
faq_135,Was passiert beim Checkout?,Folge den Schritten im Checkout-Prozess, um die Bestellung abzuschliessen.
faq_136,Welche Lieferoptionen gibt es?,Die verfuegbaren Lieferoptionen werden dir im Checkout angezeigt.
faq_137,Welche Versandarten stehen zur Auswahl?,Die verfuegbaren Lieferoptionen werden dir im Checkout angezeigt.
faq_138,Kann ich eine Lieferart auswählen?,Die verfuegbaren Lieferoptionen werden dir im Checkout angezeigt.
faq_139,Welche Versandmöglichkeiten habe ich?,Die verfuegbaren Lieferoptionen werden dir im Checkout angezeigt.
faq_140,Wie wähle ich eine Versandoption?,Die verfuegbaren Lieferoptionen werden dir im Checkout angezeigt.
faq_141,Wie sicher sind meine Daten?,Wir verwenden moderne Sicherheitsstandards, um deine Daten zu schuetzen.
faq_142,Sind meine Daten geschützt?,Wir verwenden moderne Sicherheitsstandards, um deine Daten zu schuetzen.
faq_143,Wie schützt ihr meine Informationen?,Wir verwenden moderne Sicherheitsstandards, um deine Daten zu schuetzen.
faq_144,Werden meine Daten sicher gespeichert?,Wir verwenden moderne Sicherheitsstandards, um deine Daten zu schuetzen.
faq_145,Wie sicher ist euer Shop?,Wir verwenden moderne Sicherheitsstandards, um deine Daten zu schuetzen.
faq_146,Wie kann ich den Newsletter abonnieren?,Fuer den Newsletter kannst du dich im Footer der Website anmelden.
faq_147,Wo melde ich mich für den Newsletter an?,Fuer den Newsletter kannst du dich im Footer der Website anmelden.
faq_148,Wie bekomme ich euren Newsletter?,Fuer den Newsletter kannst du dich im Footer der Website anmelden.
faq_149,Wie kann ich Angebote per Mail erhalten?,Fuer den Newsletter kannst du dich im Footer der Website anmelden.
faq_150,Wie abonniere ich Updates?,Fuer den Newsletter kannst du dich im Footer der Website anmelden.
faq_151,Wie kann ich den Newsletter abbestellen?,Du kannst dich jederzeit ueber den Abmeldelink im Newsletter abmelden.
faq_152,Wie kündige ich den Newsletter?,Du kannst dich jederzeit ueber den Abmeldelink im Newsletter abmelden.
faq_153,Wie melde ich mich vom Newsletter ab?,Du kannst dich jederzeit ueber den Abmeldelink im Newsletter abmelden.
faq_154,Ich möchte keine Mails mehr erhalten wie geht das?,Du kannst dich jederzeit ueber den Abmeldelink im Newsletter abmelden.
faq_155,Wo kann ich den Newsletter stoppen?,Du kannst dich jederzeit ueber den Abmeldelink im Newsletter abmelden.
faq_156,Gibt es eine Garantie auf Produkte?,Informationen zu Garantie oder Gewaehrleistung findest du auf der jeweiligen Produktseite.
faq_157,Habt ihr Garantie auf eure Artikel?,Informationen zu Garantie oder Gewaehrleistung findest du auf der jeweiligen Produktseite.
faq_158,Wie lange ist die Garantie gültig?,Informationen zu Garantie oder Gewaehrleistung findest du auf der jeweiligen Produktseite.
faq_159,Was gilt für Garantiebedingungen?,Informationen zu Garantie oder Gewaehrleistung findest du auf der jeweiligen Produktseite.
faq_160,Gibt es Gewährleistung auf Produkte?,Informationen zu Garantie oder Gewaehrleistung findest du auf der jeweiligen Produktseite.
faq_161,Wie kann ich meine Zahlungsart ändern?,Eine Aenderung ist nur vor Abschluss der Bestellung moeglich.
faq_162,Kann ich die Zahlungsart nachträglich ändern?,Eine Aenderung ist nur vor Abschluss der Bestellung moeglich.
faq_163,Wie wechsle ich die Bezahlmethode?,Eine Aenderung ist nur vor Abschluss der Bestellung moeglich.
faq_164,Ist eine Änderung der Zahlung möglich?,Eine Aenderung ist nur vor Abschluss der Bestellung moeglich.
faq_165,Wie passe ich die Zahlungsart an?,Eine Aenderung ist nur vor Abschluss der Bestellung moeglich.
faq_166,Was passiert wenn meine Zahlung fehlschlägt?,Bitte versuche es erneut oder nutze eine andere Zahlungsmethode.
faq_167,Zahlung fehlgeschlagen was tun?,Bitte versuche es erneut oder nutze eine andere Zahlungsmethode.
faq_168,Warum wurde meine Zahlung abgelehnt?,Bitte versuche es erneut oder nutze eine andere Zahlungsmethode.
faq_169,Bezahlung funktioniert nicht warum?,Bitte versuche es erneut oder nutze eine andere Zahlungsmethode.
faq_170,Was tun bei Zahlungsfehler?,Bitte versuche es erneut oder nutze eine andere Zahlungsmethode.
faq_171,Wie kann ich meine Sprache ändern?,Die Sprache der Website kannst du im Menue einstellen.
faq_172,Wo ändere ich die Sprache?,Die Sprache der Website kannst du im Menue einstellen.
faq_173,Wie stelle ich die Website Sprache um?,Die Sprache der Website kannst du im Menue einstellen.
faq_174,Gibt es eine Sprachoption?,Die Sprache der Website kannst du im Menue einstellen.
faq_175,Wie ändere ich die Anzeige Sprache?,Die Sprache der Website kannst du im Menue einstellen.
faq_176,Gibt es eine mobile App?,Informationen zur App findest du auf der NexaMarket Website.
faq_177,Habt ihr eine App?,Informationen zur App findest du auf der NexaMarket Website.
faq_178,Gibt es eine Smartphone App?,Informationen zur App findest du auf der NexaMarket Website.
faq_179,Wo finde ich eure App?,Informationen zur App findest du auf der NexaMarket Website.
faq_180,Kann ich mobil einkaufen?,Informationen zur App findest du auf der NexaMarket Website.
faq_181,Wie funktioniert der Datenschutz?,Details findest du in der Datenschutzerklaerung von NexaMarket.
faq_182,Wie geht ihr mit meinen Daten um?,Details findest du in der Datenschutzerklaerung von NexaMarket.
faq_183,Wo finde ich Datenschutz Infos?,Details findest du in der Datenschutzerklaerung von NexaMarket.
faq_184,Was passiert mit meinen Daten?,Details findest du in der Datenschutzerklaerung von NexaMarket.
faq_185,Sind meine Daten sicher gespeichert?,Details findest du in der Datenschutzerklaerung von NexaMarket.
faq_186,Wie kann ich meine Daten exportieren?,Bitte kontaktiere den Support fuer einen Datenexport.
faq_187,Kann ich meine Daten herunterladen?,Bitte kontaktiere den Support fuer einen Datenexport.
faq_188,Wie bekomme ich meine gespeicherten Daten?,Bitte kontaktiere den Support fuer einen Datenexport.
faq_189,Gibt es einen Datenexport?,Bitte kontaktiere den Support fuer einen Datenexport.
faq_190,Wie fordere ich meine Daten an?,Bitte kontaktiere den Support fuer einen Datenexport.
faq_191,Wie kann ich mein Konto sperren?,Bitte kontaktiere den Support, wenn dein Konto voruebergehend gesperrt werden soll.
faq_192,Wie deaktiviere ich mein Konto temporär?,Bitte kontaktiere den Support, wenn dein Konto voruebergehend gesperrt werden soll.
faq_193,Kann ich meinen Account pausieren?,Bitte kontaktiere den Support, wenn dein Konto voruebergehend gesperrt werden soll.
faq_194,Wie blockiere ich mein Konto?,Bitte kontaktiere den Support, wenn dein Konto voruebergehend gesperrt werden soll.
faq_195,Wie stoppe ich mein Konto vorübergehend?,Bitte kontaktiere den Support, wenn dein Konto voruebergehend gesperrt werden soll.
faq_196,Wie sehe ich verfügbare Größen?,Verfuegbare Groessen werden auf der jeweiligen Produktseite angezeigt.
faq_197,Wo finde ich Größenangaben?,Verfuegbare Groessen werden auf der jeweiligen Produktseite angezeigt.
faq_198,Gibt es eine Größentabelle?,Verfuegbare Groessen werden auf der jeweiligen Produktseite angezeigt.
faq_199,Wie wähle ich die richtige Größe?,Verfuegbare Groessen werden auf der jeweiligen Produktseite angezeigt.
faq_200,Wo stehen die Größeninformationen?,Verfuegbare Groessen werden auf der jeweiligen Produktseite angezeigt.
faq_201,Wie sehe ich Produktdetails?,Produktdetails findest du auf der jeweiligen Produktseite.
faq_202,Wo finde ich Infos zu einem Produkt?,Produktdetails findest du auf der jeweiligen Produktseite.
faq_203,Wie bekomme ich mehr Infos zum Artikel?,Produktdetails findest du auf der jeweiligen Produktseite.
faq_204,Wo stehen die Produktinformationen?,Produktdetails findest du auf der jeweiligen Produktseite.
faq_205,Wie lese ich die Produktbeschreibung?,Produktdetails findest du auf der jeweiligen Produktseite.
faq_206,Gibt es Rabatte oder Aktionen?,Aktuelle Angebote und Aktionen findest du auf der Startseite von NexaMarket.
faq_207,Wo finde ich Angebote?,Aktuelle Angebote und Aktionen findest du auf der Startseite von NexaMarket.
faq_208,Habt ihr aktuelle Rabatte?,Aktuelle Angebote und Aktionen findest du auf der Startseite von NexaMarket.
faq_209,Gibt es Sales oder Aktionen?,Aktuelle Angebote und Aktionen findest du auf der Startseite von NexaMarket.
faq_210,Wo sehe ich reduzierte Artikel?,Aktuelle Angebote und Aktionen findest du auf der Startseite von NexaMarket.
faq_211,Wie kann ich Produkte vergleichen?,Produkte kannst du ueber die Vergleichsfunktion direkt gegenueberstellen.
faq_212,Gibt es einen Produktvergleich?,Produkte kannst du ueber die Vergleichsfunktion direkt gegenueberstellen.
faq_213,Wie vergleiche ich Artikel?,Produkte kannst du ueber die Vergleichsfunktion direkt gegenueberstellen.
faq_214,Wo finde ich Vergleichsmöglichkeiten?,Produkte kannst du ueber die Vergleichsfunktion direkt gegenueberstellen.
faq_215,Kann ich mehrere Produkte vergleichen?,Produkte kannst du ueber die Vergleichsfunktion direkt gegenueberstellen.
faq_216,Wie speichere ich Favoriten?,Produkte kannst du in deiner Wunschliste speichern.
faq_217,Gibt es eine Wunschliste?,Produkte kannst du in deiner Wunschliste speichern.
faq_218,Wie merke ich mir Produkte?,Produkte kannst du in deiner Wunschliste speichern.
faq_219,Wie füge ich Artikel zu Favoriten hinzu?,Produkte kannst du in deiner Wunschliste speichern.
faq_220,Wo speichere ich Produkte für später?,Produkte kannst du in deiner Wunschliste speichern.
faq_221,Wie funktioniert die Wunschliste?,Produkte kannst du in deiner Wunschliste speichern und verwalten.
faq_222,Wo sehe ich meine gespeicherten Artikel?,Produkte kannst du in deiner Wunschliste speichern und verwalten.
faq_223,Wie verwalte ich Favoriten?,Produkte kannst du in deiner Wunschliste speichern und verwalten.
faq_224,Wie greife ich auf meine Wunschliste zu?,Produkte kannst du in deiner Wunschliste speichern und verwalten.
faq_225,Wo finde ich meine Wishlist?,Produkte kannst du in deiner Wunschliste speichern und verwalten.
faq_226,Wie kann ich den Support erreichen?,Du erreichst den NexaMarket Support per E-Mail oder ueber das Kontaktformular.
faq_227,Wie kontaktiere ich den Kundendienst?,Du erreichst den NexaMarket Support per E-Mail oder ueber das Kontaktformular.
faq_228,Gibt es eine Support Mail?,Du erreichst den NexaMarket Support per E-Mail oder ueber das Kontaktformular.
faq_229,Wie schreibe ich euch eine Nachricht?,Du erreichst den NexaMarket Support per E-Mail oder ueber das Kontaktformular.
faq_230,Wie bekomme ich Hilfe?,Du erreichst den NexaMarket Support per E-Mail oder ueber das Kontaktformular.
faq_231,Wie funktioniert die Anmeldung?,Du meldest dich mit deiner E-Mail-Adresse und deinem Passwort an.
faq_232,Wie logge ich mich ein?,Du meldest dich mit deiner E-Mail-Adresse und deinem Passwort an.
faq_233,Wo melde ich mich an?,Du meldest dich mit deiner E-Mail-Adresse und deinem Passwort an.
faq_234,Wie funktioniert Login?,Du meldest dich mit deiner E-Mail-Adresse und deinem Passwort an.
faq_235,Wie komme ich in meinen Account?,Du meldest dich mit deiner E-Mail-Adresse und deinem Passwort an.
faq_236,Warum kann ich mich nicht einloggen?,Bitte pruefe deine Zugangsdaten oder setze dein Passwort zurueck.
faq_237,Login funktioniert nicht was tun?,Bitte pruefe deine Zugangsdaten oder setze dein Passwort zurueck.
faq_238,Warum klappt mein Login nicht?,Bitte pruefe deine Zugangsdaten oder setze dein Passwort zurueck.
faq_239,Ich kann mich nicht anmelden warum?,Bitte pruefe deine Zugangsdaten oder setze dein Passwort zurueck.
faq_240,Was tun bei Login Problemen?,Bitte pruefe deine Zugangsdaten oder setze dein Passwort zurueck.
faq_241,Wie ändere ich meine Kontodaten?,Deine persoenlichen Daten kannst du in den Kontoeinstellungen bearbeiten.
faq_242,Wo passe ich meine persönlichen Daten an?,Deine persoenlichen Daten kannst du in den Kontoeinstellungen bearbeiten.
faq_243,Wie aktualisiere ich mein Profil?,Deine persoenlichen Daten kannst du in den Kontoeinstellungen bearbeiten.
faq_244,Wie bearbeite ich meine Angaben?,Deine persoenlichen Daten kannst du in den Kontoeinstellungen bearbeiten.
faq_245,Wo ändere ich meine Daten?,Deine persoenlichen Daten kannst du in den Kontoeinstellungen bearbeiten.
faq_246,Wie lösche ich meine Bestellung?,Eine Loeschung der Bestellung ist nicht moeglich, aber du kannst sie stornieren.
faq_247,Kann ich eine Bestellung löschen?,Eine Loeschung der Bestellung ist nicht moeglich, aber du kannst sie stornieren.
faq_248,Wie entferne ich eine Bestellung?,Eine Loeschung der Bestellung ist nicht moeglich, aber du kannst sie stornieren.
faq_249,Wie mache ich eine Bestellung rückgängig?,Eine Loeschung der Bestellung ist nicht moeglich, aber du kannst sie stornieren.
faq_250,Wie storniere ich komplett eine Bestellung?,Eine Loeschung der Bestellung ist nicht moeglich, aber du kannst sie stornieren.